t,e,phi,sigma_zz_Pa,sigma_axial_MPa,saturation,micro_pressure_Pa
0.0,0.8500018500018496,0.45945999999999987,-165705.97845093175,0.16570597845093177,1.6167023164648235e-08,213358078.0055482
864000.0,0.8500018500018484,0.4594599999999995,-171697.72764653235,0.17169772764653235,6.46680908822361e-08,57315091.4273539
1382400.0,0.850001850001848,0.4594599999999994,-2540694.0361167174,2.5406940361167174,4.0417549940219283e-07,31618254.752531927
1555200.0,0.8500018500018478,0.45945999999999937,-4720132.273142841,4.72013227314284,1.6167010176149075e-06,25058733.244728744
1641600.0,0.8500018500018477,0.4594599999999993,-7494960.640611435,7.494960640611435,6.466788388337361e-06,22348161.142543662
1693440.0,0.8500018500018472,0.4594599999999992,-6357040.945659806,6.357040945659806,4.041674133437034e-05,22299006.875852667
1710720.0,0.8500018500018472,0.4594599999999992,-6357040.945659809,6.357040945659809,0.00016165716452365417,22299006.875852667
1719360.0,0.8500018500018472,0.4594599999999992,-6357040.945659811,6.3570409456598105,0.0006464718767592581,22299006.875852667
1726272.0,0.8500018500018472,0.4594599999999992,-6357040.945659811,6.3570409456598105,0.01603703835712722,22299006.875852667
1728000.0,0.8500018500018472,0.4594599999999992,-6357040.945659811,6.3570409456598105,0.9999999999999999,22299006.875852667
