variant,ts,t_s,t_d,phi_mean,e_void,n_l_mean,uz_top_m,sigma_axial_Pa
off,0,0.0,0.0,0.4244604316546763,0.7375,0.000178555457207017,0.0,200000.0
off,67,86400.0,1.0,0.4287246729282581,0.7504694367352189,0.005343417963703354,0.00019818454790203086,200000.0
off,116,432000.0,5.0,0.45498417034466226,0.8348090928522011,0.05077685375438811,0.0015166496435733024,200000.0
off,170,864000.0,10.0,0.49316457483932924,0.9730270426203776,0.1418093414623656,0.0032676677632106793,200000.0
off,220,1296000.0,15.0,0.529363492811357,1.1247820445836656,0.2517562960485647,0.005036183456038111,200000.0
off,248,1728000.0,20.0,0.5611657998949345,1.278764963534247,0.3493565216943979,0.006528195938459378,200000.0
off,297,4320000.0,50.0,0.5975230853620077,1.4846145545998573,0.5489357459766341,0.008143497631127653,200000.0
off,357,8640000.0,100.0,0.5997871788026452,1.4986705748411677,0.5943045542804232,0.008260604121754911,200000.0
off,408,12960000.0,150.0,0.5999122083935124,1.4994514228606237,0.5999122083935124,0.008267417390597486,200000.0
off,466,17280000.0,200.0,0.5999122083935129,1.4994514228606264,0.5999122083935129,0.008267417390597498,200000.0
off,472,17712000.0,205.0,0.5992853734416457,1.495541549328433,0.5992853734416457,0.007997560620461792,200000.0
off,477,18144000.0,210.0,0.5973991998655173,1.4838500064231492,0.5973986648554371,0.007188040266197044,400000.0
off,482,18576000.0,215.0,0.5926451818184568,1.4548623346694687,0.5925502069851439,0.0051644144084874635,1000000.0
off,487,19008000.0,220.0,0.584603661418925,1.4073394662452587,0.5842669172317915,0.0017924430677698523,2500000.0
off,492,19440000.0,225.0,0.5926276126790272,1.4547564614684843,0.5926276126790272,0.005165215711368964,5000000.0
off,497,19872000.0,230.0,0.597373435421918,1.4836910625803192,0.597373435421918,0.007188958495292019,2500000.0
off,502,20304000.0,235.0,0.5992586676613786,1.4953752440864085,0.5992586676613786,0.007998519683574616,1000000.0
off,507,20736000.0,240.0,0.5992586676613836,1.4953752440864396,0.5992586676613836,0.007998519683574911,400000.0
kinematic,0,0.0,0.0,0.4244604316546762,0.7374999999999997,0.00017850023950597262,0.0,200000.0
kinematic,80,86400.0,1.0,0.42768130428894185,0.7472782341272,0.003864355103911707,0.00011470508178755632,200000.0
kinematic,148,432000.0,5.0,0.44608543066572076,0.8053325465005322,0.031185270694555244,0.000910578553901727,200000.0
kinematic,191,864000.0,10.0,0.4783782509065144,0.9170979771029045,0.09747750742623944,0.002300736270408889,200000.0
kinematic,228,1296000.0,15.0,0.511222639922127,1.04592127556947,0.1920579979768755,0.0038716076968295823,200000.0
kinematic,262,1728000.0,20.0,0.5383007883643125,1.1659122970066254,0.2846939745719127,0.005149442610230385,200000.0
kinematic,333,4320000.0,50.0,0.5731678353407937,1.342841244868286,0.48399967565521895,0.006767504321481888,200000.0
kinematic,388,8640000.0,100.0,0.5752758194774156,1.3544691963843243,0.5488060202987743,0.006866942025637407,200000.0
kinematic,439,12960000.0,150.0,0.5751872642065375,1.3539783903422917,0.5671436598022367,0.006862894136260539,200000.0
kinematic,489,17280000.0,200.0,0.5750800943912979,1.3533846892098167,0.5733289795144513,0.006856564056960251,200000.0
kinematic,494,17712000.0,205.0,0.5745708560183537,1.3505676894649736,0.573098720503855,0.006595224961577275,200000.0
kinematic,499,18144000.0,210.0,0.5730535696671937,1.3422142192885798,0.5717689584852129,0.0058121077527718635,400000.0
kinematic,504,18576000.0,215.0,0.5692462945240758,1.3215122407249782,0.568003512725098,0.003855033092342943,1000000.0
kinematic,510,19008000.0,220.0,0.5628293825880577,1.2874364382492527,0.5614877805118673,0.0005936964903917833,2500000.0
kinematic,570,19440000.0,225.0,0.5692285609942693,1.3214166712354778,0.5684261107262459,0.0038545299445560664,5000000.0
kinematic,593,19872000.0,230.0,0.5730218114478206,1.3420400076895116,0.5725544287082133,0.005810924596381703,2500000.0
kinematic,608,20304000.0,235.0,0.5745286837141783,1.3503347034755766,0.5742409523521074,0.006593384161003481,1000000.0
kinematic,617,20736000.0,240.0,0.5745266493299893,1.3503234654420968,0.5743270063095197,0.006593237332473354,400000.0
equilibrium,0,0.0,0.0,0.4244604316546762,0.7374999999999997,0.00017850023950597262,0.0,200000.0
equilibrium,80,86400.0,1.0,0.4276965070624976,0.7473246491424151,0.0038835065968452574,0.00011584265219644302,200000.0
equilibrium,143,432000.0,5.0,0.4470043296744516,0.8083324222254764,0.03263141565208461,0.0009639522897584904,200000.0
equilibrium,177,864000.0,10.0,0.48312748426547736,0.9347130473341371,0.10727966702960966,0.0025552774002772774,200000.0
equilibrium,207,1296000.0,15.0,0.5213839276164471,1.0893573319005072,0.21594786806868507,0.004429401290263034,200000.0
equilibrium,234,1728000.0,20.0,0.5533095817899629,1.2386869277544985,0.3171458852578503,0.005997553546506209,200000.0
equilibrium,347,4320000.0,50.0,0.5958458119897306,1.4743031982996313,0.5288195689073497,0.008054470831351393,200000.0
equilibrium,400,8640000.0,100.0,0.599557888441053,1.497239853488274,0.5866644913203688,0.00824713851328976,200000.0
equilibrium,458,12960000.0,150.0,0.5998943661421895,1.4993399626944015,0.5984883919695949,0.008263367503845683,200000.0
equilibrium,508,17280000.0,200.0,0.5999220385118565,1.4995128356492478,0.5999220385118565,0.008264919983474566,200000.0
equilibrium,513,17712000.0,205.0,0.5992952132914442,1.4956028307376545,0.5992950389218074,0.007995063743652744,200000.0
equilibrium,518,18144000.0,210.0,0.5974088984849842,1.4839098436026963,0.597396638797183,0.00718552386901723,400000.0
equilibrium,523,18576000.0,215.0,0.5926546970896882,1.4549196783549934,0.5925314549152406,0.005161877532884277,1000000.0
equilibrium,528,19008000.0,220.0,0.5846127711089686,1.4073922606376763,0.5842205297450498,0.001789875387423882,2500000.0
equilibrium,533,19440000.0,225.0,0.5926376500008746,1.4548169461467098,0.5926367430301128,0.005162724759336213,5000000.0
equilibrium,538,19872000.0,230.0,0.5973833244834966,1.4837520669434112,0.5973833244834966,0.007186463230998812,2500000.0
equilibrium,543,20304000.0,235.0,0.5992684947110178,1.4954364376189073,0.5992684947110178,0.007996021882273824,1000000.0
equilibrium,548,20736000.0,240.0,0.5992684947111905,1.4954364376199825,0.5992684947111905,0.007996021882283863,400000.0
